time/fps,time/process,time/physics_process,memory/static,memory/static_max,memory/msg_buf_max,object/objects,object/resources,object/nodes,object/orphan_nodes,raster/total_objects_drawn,raster/total_primitives_drawn,raster/total_draw_calls,video/video_mem,video/texture_mem,video/buffer_mem,physics_2d/active_objects,physics_2d/collision_pairs,physics_2d/islands,physics_3d/active_objects,physics_3d/collision_pairs,physics_3d/islands,audio/driver/output_latency
87.0,0.016403,0.002595,69403192.0,93620680.0,6696.0,2303.0,246.0,514.0,7.0,0.0,0.0,0.0,137586960.0,75755520.0,1781884.0,24.0,570.0,465.0,0.0,0.0,0.0,0.01
88.0,0.01477,0.001907,69403192.0,93620680.0,6696.0,2303.0,246.0,514.0,7.0,0.0,0.0,0.0,137586960.0,75755520.0,1781884.0,24.0,570.0,465.0,0.0,0.0,0.0,0.01
86.0,0.017717,0.001953,69404824.0,93620680.0,6696.0,2304.0,246.0,514.0,7.0,0.0,0.0,0.0,137586960.0,75755520.0,1781884.0,24.0,570.0,465.0,0.0,0.0,0.0,0.01
87.0,0.01446,0.001949,69407960.0,93620680.0,6696.0,2309.0,246.0,514.0,7.0,0.0,0.0,0.0,137586960.0,75755520.0,1781884.0,24.0,570.0,465.0,0.0,0.0,0.0,0.01
88.0,0.015426,0.002502,69403328.0,93620680.0,6696.0,2303.0,246.0,514.0,7.0,0.0,0.0,0.0,137586960.0,75755520.0,1781884.0,24.0,570.0,465.0,0.0,0.0,0.0,0.01
85.0,0.021068,0.00337,69403328.0,93620680.0,6696.0,2303.0,246.0,514.0,7.0,0.0,0.0,0.0,137586960.0,75755520.0,1781884.0,24.0,570.0,465.0,0.0,0.0,0.0,0.01
87.0,0.023199,0.003341,69403928.0,93620680.0,6696.0,2305.0,246.0,514.0,7.0,0.0,0.0,0.0,137586960.0,75755520.0,1781884.0,24.0,568.0,463.0,0.0,0.0,0.0,0.01
87.0,0.014683,0.002083,69391792.0,93620680.0,6696.0,2304.0,246.0,514.0,7.0,0.0,0.0,0.0,137586960.0,75755520.0,1781884.0,24.0,556.0,451.0,0.0,0.0,0.0,0.01
87.0,0.01543,0.002048,69402368.0,93620680.0,6696.0,2304.0,246.0,514.0,7.0,0.0,0.0,0.0,137586960.0,75755520.0,1781884.0,24.0,549.0,444.0,0.0,0.0,0.0,0.01
88.0,0.014266,0.002927,69407600.0,93620680.0,6696.0,2304.0,246.0,514.0,7.0,0.0,0.0,0.0,137586960.0,75755520.0,1781884.0,24.0,562.0,457.0,0.0,0.0,0.0,0.01
87.0,0.015764,0.002941,69431456.0,93620680.0,6696.0,2304.0,246.0,514.0,7.0,0.0,0.0,0.0,137586960.0,75755520.0,1781884.0,24.0,568.0,463.0,0.0,0.0,0.0,0.01
85.0,0.015042,0.00309,69462808.0,93620680.0,6696.0,2304.0,246.0,514.0,7.0,0.0,0.0,0.0,137586960.0,75755520.0,1781884.0,24.0,543.0,438.0,0.0,0.0,0.0,0.01
85.0,0.016756,0.005239,69528592.0,93620680.0,6696.0,2304.0,246.0,514.0,7.0,0.0,0.0,0.0,137586960.0,75755520.0,1781884.0,24.0,584.0,479.0,0.0,0.0,0.0,0.01
85.0,0.014943,0.002014,69573992.0,93620680.0,6696.0,2304.0,246.0,514.0,7.0,0.0,0.0,0.0,137586960.0,75755520.0,1781884.0,24.0,598.0,493.0,0.0,0.0,0.0,0.01
84.0,0.016146,0.002487,70304296.0,93620680.0,6696.0,2326.0,246.0,530.0,7.0,0.0,0.0,0.0,137586960.0,75755520.0,1781884.0,28.0,796.0,638.0,0.0,0.0,0.0,0.01
80.0,0.014405,0.002827,70252240.0,93620680.0,6696.0,2303.0,246.0,514.0,7.0,0.0,0.0,0.0,137586192.0,75755520.0,1781740.0,25.0,769.0,611.0,0.0,0.0,0.0,0.01
82.0,0.014483,0.00267,70106472.0,93620680.0,6696.0,2271.0,246.0,490.0,7.0,0.0,0.0,0.0,137585424.0,75755520.0,1781596.0,24.0,731.0,576.0,0.0,0.0,0.0,0.01
83.0,0.015405,0.00664,69970192.0,93620680.0,6696.0,2252.0,246.0,478.0,7.0,0.0,0.0,0.0,137584656.0,75755520.0,1781452.0,24.0,684.0,530.0,0.0,0.0,0.0,0.01
87.0,0.014802,0.002576,69497128.0,93620680.0,6696.0,2172.0,246.0,422.0,7.0,0.0,0.0,0.0,137582352.0,75755520.0,1781020.0,18.0,548.0,408.0,0.0,0.0,0.0,0.01
90.0,0.015007,0.01006,70063472.0,93620680.0,6696.0,2260.0,246.0,486.0,6.0,0.0,0.0,0.0,137585424.0,75755520.0,1781596.0,22.0,657.0,552.0,0.0,0.0,0.0,0.01
86.0,0.014926,0.002425,70086160.0,93620680.0,6696.0,2266.0,246.0,486.0,6.0,0.0,0.0,0.0,137585424.0,75755520.0,1781596.0,22.0,657.0,552.0,0.0,0.0,0.0,0.01
87.0,0.015457,0.002609,70081904.0,93620680.0,6696.0,2260.0,246.0,486.0,6.0,0.0,0.0,0.0,137585424.0,75755520.0,1781596.0,22.0,657.0,552.0,0.0,0.0,0.0,0.01
87.0,0.014744,0.001653,70081904.0,93620680.0,6696.0,2260.0,246.0,486.0,6.0,0.0,0.0,0.0,137585424.0,75755520.0,1781596.0,22.0,657.0,552.0,0.0,0.0,0.0,0.01
86.0,0.014949,0.001804,70080608.0,93620680.0,6696.0,2259.0,246.0,486.0,6.0,0.0,0.0,0.0,137585424.0,75755520.0,1781596.0,22.0,657.0,552.0,0.0,0.0,0.0,0.01
86.0,0.015495,0.001652,70080608.0,93620680.0,6696.0,2259.0,246.0,486.0,6.0,0.0,0.0,0.0,137585424.0,75755520.0,1781596.0,22.0,657.0,552.0,0.0,0.0,0.0,0.01
82.0,0.02886,0.002715,70080608.0,93620680.0,6696.0,2259.0,246.0,486.0,6.0,0.0,0.0,0.0,137585424.0,75755520.0,1781596.0,22.0,657.0,552.0,0.0,0.0,0.0,0.01
86.0,0.020744,0.001726,70080608.0,93620680.0,6696.0,2259.0,246.0,486.0,6.0,0.0,0.0,0.0,137585424.0,75755520.0,1781596.0,22.0,657.0,552.0,0.0,0.0,0.0,0.01
86.0,0.021208,0.002725,70080608.0,93620680.0,6696.0,2259.0,246.0,486.0,6.0,0.0,0.0,0.0,137585424.0,75755520.0,1781596.0,22.0,657.0,552.0,0.0,0.0,0.0,0.01
85.0,0.017919,0.001577,70080608.0,93620680.0,6696.0,2259.0,246.0,486.0,6.0,0.0,0.0,0.0,137585424.0,75755520.0,1781596.0,22.0,657.0,552.0,0.0,0.0,0.0,0.01
87.0,0.018414,0.001419,70080720.0,93620680.0,6696.0,2259.0,246.0,486.0,6.0,0.0,0.0,0.0,137585424.0,75755520.0,1781596.0,22.0,657.0,552.0,0.0,0.0,0.0,0.01
82.0,0.023723,0.001955,70080720.0,93620680.0,6696.0,2259.0,246.0,486.0,6.0,0.0,0.0,0.0,137585424.0,75755520.0,1781596.0,22.0,657.0,552.0,0.0,0.0,0.0,0.01
87.0,0.016713,0.001722,70080720.0,93620680.0,6696.0,2259.0,246.0,486.0,6.0,0.0,0.0,0.0,137585424.0,75755520.0,1781596.0,22.0,657.0,552.0,0.0,0.0,0.0,0.01
85.0,0.020395,0.002394,70081848.0,93620680.0,6696.0,2260.0,246.0,486.0,6.0,0.0,0.0,0.0,137585424.0,75755520.0,1781596.0,22.0,657.0,552.0,0.0,0.0,0.0,0.01
87.0,0.014967,0.001656,70093704.0,93620680.0,6696.0,2277.0,246.0,486.0,6.0,0.0,0.0,0.0,137585424.0,75755520.0,1781596.0,22.0,657.0,552.0,0.0,0.0,0.0,0.01
87.0,0.014764,0.001628,70081792.0,93620680.0,6696.0,2260.0,246.0,486.0,6.0,0.0,0.0,0.0,137585424.0,75755520.0,1781596.0,22.0,657.0,552.0,0.0,0.0,0.0,0.01
86.0,0.017642,0.001493,70081792.0,93620680.0,6696.0,2260.0,246.0,486.0,6.0,0.0,0.0,0.0,137585424.0,75755520.0,1781596.0,22.0,657.0,552.0,0.0,0.0,0.0,0.01
87.0,0.015066,0.001852,70080720.0,93620680.0,6696.0,2259.0,246.0,486.0,6.0,0.0,0.0,0.0,137585424.0,75755520.0,1781596.0,22.0,657.0,552.0,0.0,0.0,0.0,0.01
87.0,0.023793,0.002827,70080720.0,93620680.0,6696.0,2259.0,246.0,486.0,6.0,0.0,0.0,0.0,137585424.0,75755520.0,1781596.0,22.0,657.0,552.0,0.0,0.0,0.0,0.01
86.0,0.016441,0.001625,70080592.0,93620680.0,6696.0,2259.0,246.0,486.0,6.0,0.0,0.0,0.0,137585424.0,75755520.0,1781596.0,22.0,657.0,552.0,0.0,0.0,0.0,0.01
84.0,0.024189,0.002573,70080592.0,93620680.0,6696.0,2259.0,246.0,486.0,6.0,0.0,0.0,0.0,137585424.0,75755520.0,1781596.0,22.0,657.0,552.0,0.0,0.0,0.0,0.01
84.0,0.019898,0.002222,70080592.0,93620680.0,6696.0,2259.0,246.0,486.0,6.0,0.0,0.0,0.0,137585424.0,75755520.0,1781596.0,22.0,657.0,552.0,0.0,0.0,0.0,0.01
85.0,0.022657,0.001928,70080592.0,93620680.0,6696.0,2259.0,246.0,486.0,6.0,0.0,0.0,0.0,137585424.0,75755520.0,1781596.0,22.0,657.0,552.0,0.0,0.0,0.0,0.01
85.0,0.018343,0.00283,70080592.0,93620680.0,6696.0,2259.0,246.0,486.0,6.0,0.0,0.0,0.0,137585424.0,75755520.0,1781596.0,22.0,657.0,552.0,0.0,0.0,0.0,0.01
76.0,0.021905,0.003885,70080592.0,93620680.0,6696.0,2259.0,246.0,486.0,6.0,0.0,0.0,0.0,137585424.0,75755520.0,1781596.0,22.0,657.0,552.0,0.0,0.0,0.0,0.01
85.0,0.018261,0.001898,70080592.0,93620680.0,6696.0,2259.0,246.0,486.0,6.0,0.0,0.0,0.0,137585424.0,75755520.0,1781596.0,22.0,657.0,552.0,0.0,0.0,0.0,0.01
85.0,0.017357,0.002686,70080592.0,93620680.0,6696.0,2259.0,246.0,486.0,6.0,0.0,0.0,0.0,137585424.0,75755520.0,1781596.0,22.0,657.0,552.0,0.0,0.0,0.0,0.01
86.0,0.017482,0.001634,70080592.0,93620680.0,6696.0,2259.0,246.0,486.0,6.0,0.0,0.0,0.0,137585424.0,75755520.0,1781596.0,22.0,657.0,552.0,0.0,0.0,0.0,0.01
86.0,0.016434,0.001801,70080592.0,93620680.0,6696.0,2259.0,246.0,486.0,6.0,0.0,0.0,0.0,137585424.0,75755520.0,1781596.0,22.0,657.0,552.0,0.0,0.0,0.0,0.01
86.0,0.015357,0.001783,70080592.0,93620680.0,6696.0,2259.0,246.0,486.0,6.0,0.0,0.0,0.0,137585424.0,75755520.0,1781596.0,22.0,657.0,552.0,0.0,0.0,0.0,0.01
86.0,0.020779,0.001746,70080592.0,93620680.0,6696.0,2259.0,246.0,486.0,6.0,0.0,0.0,0.0,137585424.0,75755520.0,1781596.0,22.0,657.0,552.0,0.0,0.0,0.0,0.01
85.0,0.018718,0.00215,70080592.0,93620680.0,6696.0,2259.0,246.0,486.0,6.0,0.0,0.0,0.0,137585424.0,75755520.0,1781596.0,22.0,657.0,552.0,0.0,0.0,0.0,0.01
87.0,0.015381,0.001914,70080592.0,93620680.0,6696.0,2259.0,246.0,486.0,6.0,0.0,0.0,0.0,137585424.0,75755520.0,1781596.0,22.0,657.0,552.0,0.0,0.0,0.0,0.01
84.0,0.021007,0.001727,70080592.0,93620680.0,6696.0,2259.0,246.0,486.0,6.0,0.0,0.0,0.0,137585424.0,75755520.0,1781596.0,22.0,657.0,552.0,0.0,0.0,0.0,0.01
67.0,0.02236,0.002414,70080592.0,93620680.0,6696.0,2259.0,246.0,486.0,6.0,0.0,0.0,0.0,137585424.0,75755520.0,1781596.0,22.0,657.0,552.0,0.0,0.0,0.0,0.01
83.0,0.019762,0.002386,70069816.0,93620680.0,6696.0,2259.0,246.0,486.0,6.0,0.0,0.0,0.0,137585424.0,75755520.0,1781596.0,22.0,643.0,507.0,0.0,0.0,0.0,0.01
85.0,0.021728,0.001759,70069816.0,93620680.0,6696.0,2259.0,246.0,486.0,6.0,0.0,0.0,0.0,137585424.0,75755520.0,1781596.0,22.0,643.0,507.0,0.0,0.0,0.0,0.01
78.0,0.019702,0.003295,70744912.0,93620680.0,6696.0,2394.0,246.0,582.0,8.0,0.0,0.0,0.0,137589264.0,75755520.0,1782316.0,27.0,689.0,553.0,0.0,0.0,0.0,0.01
76.0,0.016911,0.002341,70744912.0,93620680.0,6696.0,2394.0,246.0,582.0,8.0,0.0,0.0,0.0,137589264.0,75755520.0,1782316.0,27.0,689.0,553.0,0.0,0.0,0.0,0.01
77.0,0.01778,0.002861,70744912.0,93620680.0,6696.0,2394.0,246.0,582.0,8.0,0.0,0.0,0.0,137589264.0,75755520.0,1782316.0,27.0,689.0,553.0,0.0,0.0,0.0,0.01
74.0,0.018291,0.002676,70744912.0,93620680.0,6696.0,2394.0,246.0,582.0,8.0,0.0,0.0,0.0,137589264.0,75755520.0,1782316.0,27.0,689.0,553.0,0.0,0.0,0.0,0.01
76.0,0.017038,0.002512,70748176.0,93620680.0,6696.0,2394.0,246.0,582.0,8.0,0.0,0.0,0.0,137589264.0,75755520.0,1782316.0,27.0,696.0,560.0,0.0,0.0,0.0,0.01
76.0,0.020021,0.002756,70748608.0,93620680.0,6696.0,2394.0,246.0,582.0,8.0,0.0,0.0,0.0,137589264.0,75755520.0,1782316.0,27.0,701.0,565.0,0.0,0.0,0.0,0.01
77.0,0.015623,0.001674,70750864.0,93620680.0,6696.0,2396.0,246.0,582.0,8.0,0.0,0.0,0.0,137589264.0,75755520.0,1782316.0,27.0,710.0,574.0,0.0,0.0,0.0,0.01
77.0,0.016825,0.002165,70750704.0,93620680.0,6696.0,2396.0,246.0,582.0,8.0,0.0,0.0,0.0,137589264.0,75755520.0,1782316.0,27.0,705.0,569.0,0.0,0.0,0.0,0.01
77.0,0.016546,0.002005,70748912.0,93620680.0,6696.0,2396.0,246.0,582.0,8.0,0.0,0.0,0.0,137589264.0,75755520.0,1782316.0,27.0,696.0,560.0,0.0,0.0,0.0,0.01
76.0,0.020481,0.003863,70748088.0,93620680.0,6696.0,2396.0,246.0,582.0,8.0,0.0,0.0,0.0,137589264.0,75755520.0,1782316.0,27.0,689.0,553.0,0.0,0.0,0.0,0.01
77.0,0.016052,0.003987,70748088.0,93620680.0,6696.0,2396.0,246.0,582.0,8.0,0.0,0.0,0.0,137589264.0,75755520.0,1782316.0,27.0,689.0,553.0,0.0,0.0,0.0,0.01
76.0,0.01777,0.002184,70748088.0,93620680.0,6696.0,2396.0,246.0,582.0,8.0,0.0,0.0,0.0,137589264.0,75755520.0,1782316.0,27.0,689.0,553.0,0.0,0.0,0.0,0.01
73.0,0.020343,0.002279,70748088.0,93620680.0,6696.0,2396.0,246.0,582.0,8.0,0.0,0.0,0.0,137589264.0,75755520.0,1782316.0,27.0,689.0,553.0,0.0,0.0,0.0,0.01
56.0,0.024157,0.00411,70759992.0,93620680.0,6696.0,2396.0,246.0,582.0,8.0,0.0,0.0,0.0,137589264.0,75755520.0,1782316.0,27.0,697.0,589.0,0.0,0.0,0.0,0.01
76.0,0.019922,0.002181,70759992.0,93620680.0,6696.0,2396.0,246.0,582.0,8.0,0.0,0.0,0.0,137589264.0,75755520.0,1782316.0,27.0,697.0,589.0,0.0,0.0,0.0,0.01
